ds,y
2023-08-01,2
2023-08-02,1
2023-08-03,1
2023-08-04,2
2023-08-05,2
2023-08-06,2
2023-08-07,0
2023-08-08,0
2023-08-09,0
2023-08-10,1
2023-08-11,0
2023-08-12,1
2023-08-13,4
2023-08-14,2
2023-08-15,1
2023-08-16,0
2023-08-17,0
2023-08-18,0
2023-08-19,0
2023-08-20,1
2023-08-21,3
2023-08-22,0
2023-08-23,0
2023-08-24,1
2023-08-25,2
2023-08-26,0
2023-08-27,2
2023-08-28,4
2023-08-29,3
2023-08-30,1
2023-08-31,1
2023-09-01,2
2023-09-02,0
2023-09-03,3
2023-09-04,3
2023-09-05,2
2023-09-06,1
2023-09-07,1
2023-09-08,1
2023-09-09,3
2023-09-10,3
2023-09-11,2
2023-09-12,2
2023-09-13,0
2023-09-14,2
2023-09-15,1
2023-09-16,1
2023-09-17,2
2023-09-18,0
2023-09-19,1
2023-09-20,0
2023-09-21,4
2023-09-22,2
2023-09-23,0
2023-09-24,3
2023-09-25,2
2023-09-26,1
2023-09-27,2
2023-09-28,0
2023-09-29,1
2023-09-30,2
2023-10-01,3
2023-10-02,4
2023-10-03,1
2023-10-04,4
2023-10-05,4
2023-10-06,3
2023-10-07,5
2023-10-08,7
2023-10-09,4
2023-10-10,1
2023-10-11,2
2023-10-12,7
2023-10-13,0
2023-10-14,1
2023-10-15,9
2023-10-16,7
2023-10-17,3
2023-10-18,3
2023-10-19,0
2023-10-20,2
2023-10-21,1
2023-10-22,7
2023-10-23,4
2023-10-24,3
2023-10-25,3
2023-10-26,1
2023-10-27,1
2023-10-28,2
2023-10-29,6
2023-10-30,1
2023-10-31,1
2023-11-01,0
2023-11-02,0
2023-11-03,2
2023-11-04,2
2023-11-05,3
2023-11-06,3
2023-11-07,0
2023-11-08,2
2023-11-09,5
2023-11-10,3
2023-11-11,1
2023-11-12,7
2023-11-13,10
2023-11-14,3
2023-11-15,1
2023-11-16,2
2023-11-17,1
2023-11-18,2
2023-11-19,5
2023-11-20,7
2023-11-21,0
2023-11-22,2
2023-11-23,1
2023-11-24,1
2023-11-25,1
2023-11-26,5
2023-11-27,4
2023-11-28,1
2023-11-29,2
2023-11-30,3
2023-12-01,6
2023-12-02,5
2023-12-03,7
2023-12-04,1
2023-12-05,1
2023-12-06,4
2023-12-07,5
2023-12-08,2
2023-12-09,3
2023-12-10,6
2023-12-11,6
2023-12-12,1
2023-12-13,3
2023-12-14,5
2023-12-15,5
2023-12-16,3
2023-12-17,4
2023-12-18,8
2023-12-19,4
2023-12-20,2
2023-12-21,0
2023-12-22,3
2023-12-23,1
2023-12-24,4
2023-12-25,7
2023-12-26,5
2023-12-27,2
2023-12-28,3
2023-12-29,5
2023-12-30,1
2023-12-31,7
2024-01-01,4
2024-01-02,2
2024-01-03,4
2024-01-04,2
2024-01-05,4
2024-01-06,2
2024-01-07,3
2024-01-08,6
2024-01-09,6
2024-01-10,3
2024-01-11,8
2024-01-12,3
2024-01-13,3
2024-01-14,9
2024-01-15,8
2024-01-16,5
2024-01-17,2
2024-01-18,0
2024-01-19,4
2024-01-20,6
2024-01-21,6
2024-01-22,7
2024-01-23,5
2024-01-24,2
2024-01-25,3
2024-01-26,3
2024-01-27,7
